Name,Population,Income,Illiteracy,Life_Exp,HS_Grad,Abb,Area,Center_X,Center_Y,Division,Region
Alabama,3615,3624,2.1,69.05,41.3,AL,50708,-86.7509,32.5901,East South Central,South
Alaska,365,6315,1.5,69.31,66.7,AK,566432,-127.25,49.25,Pacific,West
Arizona,2212,4530,1.8,70.55,58.1,AZ,113417,-111.625,34.2192,Mountain,West
Arkansas,2110,3378,1.9,70.66,39.9,AR,51945,-92.2992,34.7336,West South Central,South
California,21198,5114,1.1,71.71,62.6,CA,156361,-119.773,36.5341,Pacific,West
Colorado,2541,4884,0.7,72.06,63.9,CO,103766,-105.513,38.6777,Mountain,West
Connecticut,3100,5348,1.1,72.48,56,CT,4862,-72.3573,41.5928,New England,Northeast
Delaware,579,4809,0.9,70.06,54.6,DE,1982,-74.9841,38.6777,South Atlantic,South
Florida,8277,4815,1.3,70.66,52.6,FL,54090,-81.685,27.8744,South Atlantic,South
Georgia,4931,4091,2,68.54,40.6,GA,58073,-83.3736,32.3329,South Atlantic,South
Hawaii,868,4963,1.9,73.6,61.9,HI,6425,-126.25,31.75,Pacific,West
Idaho,813,4119,0.6,71.87,59.5,ID,82677,-113.93,43.5648,Mountain,West
Illinois,11197,5107,0.9,70.14,52.6,IL,55748,-89.3776,40.0495,East North Central,North Central
Indiana,5313,4458,0.7,70.88,52.9,IN,36097,-86.0808,40.0495,East North Central,North Central
Iowa,2861,4628,0.5,72.56,59,IA,55941,-93.3714,41.9358,West North Central,North Central
Kansas,2280,4669,0.6,72.58,59.9,KS,81787,-98.1156,38.4204,West North Central,North Central
Kentucky,3387,3712,1.6,70.1,38.5,KY,39650,-84.7674,37.3915,East South Central,South
Louisiana,3806,3545,2.8,68.76,42.2,LA,44930,-92.2724,30.6181,West South Central,South
Maine,1058,3694,0.7,70.39,54.7,ME,30920,-68.9801,45.6226,New England,Northeast
Maryland,4122,5299,0.9,70.22,52.3,MD,9891,-76.6459,39.2778,South Atlantic,South
Massachusetts,5814,4755,1.1,71.83,58.5,MA,7826,-71.58,42.3645,New England,Northeast
Michigan,9111,4751,0.9,70.63,52.8,MI,56817,-84.687,43.1361,East North Central,North Central
Minnesota,3921,4675,0.6,72.96,57.6,MN,79289,-94.6043,46.3943,West North Central,North Central
Mississippi,2341,3098,2.4,68.09,41,MS,47296,-89.8065,32.6758,East South Central,South
Missouri,4767,4254,0.8,70.69,48.8,MO,68995,-92.5137,38.3347,West North Central,North Central
Montana,746,4347,0.6,70.56,59.2,MT,145587,-109.32,46.823,Mountain,West
Nebraska,1544,4508,0.6,72.6,59.3,NE,76483,-99.5898,41.3356,West North Central,North Central
Nevada,590,5149,0.5,69.03,65.2,NV,109889,-116.851,39.1063,Mountain,West
New Hampshire,812,4281,0.7,71.23,57.6,NH,9027,-71.3924,43.3934,New England,Northeast
New Jersey,7333,5237,1.1,70.93,52.5,NJ,7521,-74.2336,39.9637,Middle Atlantic,Northeast
New Mexico,1144,3601,2.2,70.32,55.2,NM,121412,-105.942,34.4764,Mountain,West
New York,18076,4903,1.4,70.55,52.7,NY,47831,-75.1449,43.1361,Middle Atlantic,Northeast
North Carolina,5441,3875,1.8,69.21,38.5,NC,48798,-78.4686,35.4195,South Atlantic,South
North Dakota,637,5087,0.8,72.78,50.3,ND,69273,-100.099,47.2517,West North Central,North Central
Ohio,10735,4561,0.8,70.82,53.2,OH,40975,-82.5963,40.221,East North Central,North Central
Oklahoma,2715,3983,1.1,71.42,51.6,OK,68782,-97.1239,35.5053,West South Central,South
Oregon,2284,4660,0.6,72.13,60,OR,96184,-120.068,43.9078,Pacific,West
Pennsylvania,11860,4449,1,70.43,50.2,PA,44966,-77.45,40.9069,Middle Atlantic,Northeast
Rhode Island,931,4558,1.3,71.9,46.4,RI,1049,-71.1244,41.5928,New England,Northeast
South Carolina,2816,3635,2.3,67.96,37.8,SC,30225,-80.5056,33.619,South Atlantic,South
South Dakota,681,4167,0.5,72.08,53.3,SD,75955,-99.7238,44.3365,West North Central,North Central
Tennessee,4173,3821,1.7,70.11,41.8,TN,41328,-86.456,35.6767,East South Central,South
Texas,12237,4188,2.2,70.9,47.4,TX,262134,-98.7857,31.3897,West South Central,South
Utah,1203,4022,0.6,72.9,67.3,UT,82096,-111.33,39.1063,Mountain,West
Vermont,472,3907,0.6,71.64,57.1,VT,9267,-72.545,44.2508,New England,Northeast
Virginia,4981,4701,1.4,70.08,47.8,VA,39780,-78.2005,37.563,South Atlantic,South
Washington,3559,4864,0.6,71.72,63.5,WA,66570,-119.746,47.4231,Pacific,West
West Virginia,1799,3617,1.4,69.48,41.6,WV,24070,-80.6665,38.4204,South Atlantic,South
Wisconsin,4589,4468,0.7,72.48,54.5,WI,54464,-89.9941,44.5937,East North Central,North Central
Wyoming,376,4566,0.6,70.29,62.9,WY,97203,-107.256,43.0504,Mountain,West
