"Notes"	"State"	"State Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Certain infectious and parasitic diseases"	"A00-B99"	1092	4430141	24.6
	"Alabama"	"01"	"1999"	"1999"	"Neoplasms"	"C00-D48"	9743	4430141	219.9
	"Alabama"	"01"	"1999"	"1999"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	210	4430141	4.7
	"Alabama"	"01"	"1999"	"1999"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1772	4430141	40.0
	"Alabama"	"01"	"1999"	"1999"	"Mental and behavioural disorders"	"F01-F99"	677	4430141	15.3
	"Alabama"	"01"	"1999"	"1999"	"Diseases of the nervous system"	"G00-G98"	1440	4430141	32.5
	"Alabama"	"01"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	17548	4430141	396.1
	"Alabama"	"01"	"1999"	"1999"	"Diseases of the respiratory system"	"J00-J98"	4345	4430141	98.1
	"Alabama"	"01"	"1999"	"1999"	"Diseases of the digestive system"	"K00-K92"	1456	4430141	32.9
	"Alabama"	"01"	"1999"	"1999"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	75	4430141	1.7
	"Alabama"	"01"	"1999"	"1999"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	193	4430141	4.4
	"Alabama"	"01"	"1999"	"1999"	"Diseases of the genitourinary system"	"N00-N98"	1363	4430141	30.8
	"Alabama"	"01"	"1999"	"1999"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	10	4430141	0.2 (Unreliable)
	"Alabama"	"01"	"1999"	"1999"	"Certain conditions originating in the perinatal period"	"P00-P96"	309	4430141	7.0
	"Alabama"	"01"	"1999"	"1999"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	180	4430141	4.1
	"Alabama"	"01"	"1999"	"1999"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	984	4430141	22.2
	"Alabama"	"01"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	3408	4430141	76.9
"Total"	"Alabama"	"01"	"1999"	"1999"			44806	4430141	1011.4
	"Alabama"	"01"	"2000"	"2000"	"Certain infectious and parasitic diseases"	"A00-B99"	1188	4447100	26.7
	"Alabama"	"01"	"2000"	"2000"	"Neoplasms"	"C00-D48"	10041	4447100	225.8
	"Alabama"	"01"	"2000"	"2000"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	223	4447100	5.0
	"Alabama"	"01"	"2000"	"2000"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1762	4447100	39.6
	"Alabama"	"01"	"2000"	"2000"	"Mental and behavioural disorders"	"F01-F99"	769	4447100	17.3
	"Alabama"	"01"	"2000"	"2000"	"Diseases of the nervous system"	"G00-G98"	1601	4447100	36.0
	"Alabama"	"01"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	17607	4447100	395.9
	"Alabama"	"01"	"2000"	"2000"	"Diseases of the respiratory system"	"J00-J98"	4079	4447100	91.7
	"Alabama"	"01"	"2000"	"2000"	"Diseases of the digestive system"	"K00-K92"	1494	4447100	33.6
	"Alabama"	"01"	"2000"	"2000"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	72	4447100	1.6
	"Alabama"	"01"	"2000"	"2000"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	243	4447100	5.5
	"Alabama"	"01"	"2000"	"2000"	"Diseases of the genitourinary system"	"N00-N98"	1294	4447100	29.1
	"Alabama"	"01"	"2000"	"2000"	"Certain conditions originating in the perinatal period"	"P00-P96"	293	4447100	6.6
	"Alabama"	"01"	"2000"	"2000"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	174	4447100	3.9
	"Alabama"	"01"	"2000"	"2000"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	973	4447100	21.9
	"Alabama"	"01"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	3245	4447100	73.0
"Total"	"Alabama"	"01"	"2000"	"2000"			45062	4447100	1013.3
	"Alabama"	"01"	"2001"	"2001"	"Certain infectious and parasitic diseases"	"A00-B99"	1211	4467634	27.1
	"Alabama"	"01"	"2001"	"2001"	"Neoplasms"	"C00-D48"	10039	4467634	224.7
	"Alabama"	"01"	"2001"	"2001"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	208	4467634	4.7
	"Alabama"	"01"	"2001"	"2001"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1784	4467634	39.9
	"Alabama"	"01"	"2001"	"2001"	"Mental and behavioural disorders"	"F01-F99"	829	4467634	18.6
	"Alabama"	"01"	"2001"	"2001"	"Diseases of the nervous system"	"G00-G98"	1802	4467634	40.3
